,Unnamed: 0,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,Country,DATE,DGO_FID,ID_AOI_all,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,POI_ID,SCALE,VEGETATION_AREA,VEGETATION_PERIMETER,VEGETATION_POLYGONS,VEGETATION_POLYGONS_p0,VEGETATION_POLYGONS_p10,VEGETATION_POLYGONS_p100,VEGETATION_POLYGONS_p20,VEGETATION_POLYGONS_p30,VEGETATION_POLYGONS_p40,VEGETATION_POLYGONS_p50,VEGETATION_POLYGONS_p60,VEGETATION_POLYGONS_p70,VEGETATION_POLYGONS_p80,VEGETATION_POLYGONS_p90,WATER_AREA,WATER_PERIMETER,WATER_POLYGONS,WATER_POLYGONS_p0,WATER_POLYGONS_p10,WATER_POLYGONS_p100,WATER_POLYGONS_p20,WATER_POLYGONS_p30,WATER_POLYGONS_p40,WATER_POLYGONS_p50,WATER_POLYGONS_p60,WATER_POLYGONS_p70,WATER_POLYGONS_p80,WATER_POLYGONS_p90,length
1002,1002,1942.0,0.0,100.0,AMS,2021-06-07,CHL10,40AMS,-0.1754823623675102,0.0838128684095265,-0.4624608924538234,0.4509119822871149,-0.4934861406809417,0.4902383156429757,-0.0778386734473993,CHL10,10,13906.0,11930.407143846158,2,13.0,13.0,13893.0,13.0,13.0,13.0,6953.0,13893.0,13893.0,13893.0,13893.0,345.0,2728.5328528577866,10,1.0,2.5,126.0,4.5,6.0,13.0,24.0,36.5,45.0,55.0,95.0,2275
1003,1003,2009.0,0.0,100.0,AMS,2021-06-07,CHL10,40AMS,-0.1660079259298054,0.0858886909046526,-0.4508027435669181,0.445297648339466,-0.4820388680232816,0.4840024994957866,-0.0644324846587816,CHL10,10,13916.0,12373.287861162198,2,3.0,3.0,13913.0,3.0,3.0,3.0,6958.0,13913.0,13913.0,13913.0,13913.0,395.0,2996.318621651029,11,1.0,1.0,136.0,1.0,9.0,19.0,27.0,38.0,42.0,46.0,75.0,2275
1004,1004,1284.0,0.0,100.0,AMS,2021-07-02,CHL10,40AMS,-0.150473570731001,0.1083303575019395,-0.4667412741291581,0.486163380937807,-0.4816381813377401,0.5040712520390908,-0.0313504571402115,CHL10,10,14676.0,9847.830224611973,1,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,14676.0,181.0,1623.941113754834,8,1.0,1.0,42.0,8.0,10.0,26.0,27.0,28.0,32.0,34.0,42.0,2275
1005,1005,1313.0,0.0,100.0,AMS,2021-07-02,CHL10,40AMS,-0.1450215450563634,0.1075447451522123,-0.4611743633254772,0.4846698517968222,-0.4761839091584746,0.5027114670652504,-0.009579633758149,CHL10,10,14673.0,10124.09919497664,1,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,14673.0,186.0,1599.2342563464724,8,1.0,1.0,44.0,6.0,6.0,27.0,29.0,31.0,34.0,37.0,44.0,2275
1006,1006,3174.0,53.0,100.0,AMS,2021-08-31,CHL10,40AMS,-0.0580870048597244,0.0977522500318625,-0.2886289160728087,0.3495498704647889,-0.3293273872455214,0.3907534543594377,0.0849670047986995,CHL10,10,13479.0,13053.012930988569,2,1.0,1.0,13478.0,1.0,1.0,1.0,6739.5,13478.0,13478.0,13478.0,13478.0,1236.0,5637.429024123114,9,1.0,1.0,800.0,3.0,7.0,9.0,31.0,42.0,44.0,299.0,800.0,2275
1007,1007,1338.0,0.0,100.0,AMS,2021-10-15,CHL10,40AMS,-0.1514475733963547,0.116687530878617,-0.4298569212124775,0.5100242101821743,-0.4433800117967676,0.5280526850375786,0.0630850182192469,CHL10,10,14681.0,10195.262339528705,1,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,14681.0,103.0,940.8595198742818,6,1.0,1.0,35.0,2.0,2.0,13.0,17.0,21.0,31.0,31.0,35.0,2275
1008,1008,1453.0,0.0,100.0,AMS,2021-10-15,CHL10,40AMS,-0.1556261586545682,0.1109478193385625,-0.4269504140195524,0.5061674269776839,-0.4412643854678938,0.5258811278090795,0.0331205481305763,CHL10,10,14635.0,10444.11086135184,1,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,14635.0,118.0,1038.606712103959,6,1.0,1.0,36.0,11.0,11.0,13.0,19.5,26.0,31.0,31.0,36.0,2275
1009,1009,1581.0,0.0,100.0,AMS,2021-10-25,CHL10,40AMS,-0.1618053439452904,0.1154534029524225,-0.4236870589802047,0.497938212873051,-0.4402091326657318,0.5206681710962489,0.0206277157298397,CHL10,10,14500.0,11162.186048782873,1,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,14500.0,144.0,1311.2488682881578,9,1.0,1.0,36.0,1.0,1.0,10.0,10.0,23.0,29.0,33.0,36.0,2275
1010,1010,1644.0,0.0,100.0,AMS,2021-10-25,CHL10,40AMS,-0.1601497780573844,0.1156571455438151,-0.4169769802276301,0.4945004289491297,-0.4332001689835673,0.5170197139237407,0.0378841187973365,CHL10,10,14511.0,11260.50138750686,1,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,14511.0,130.0,1145.030266484331,6,1.0,1.0,36.0,11.0,11.0,19.0,23.0,27.0,36.0,36.0,36.0,2275
1011,1011,1206.0,0.0,100.0,AMS,2021-11-04,CHL10,40AMS,-0.1572483455926337,0.1303412906144453,-0.4183674968986329,0.5162953020069362,-0.4279625091873991,0.5294640119647069,0.1154776399408755,CHL10,10,14821.0,9310.619393644582,1,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,14821.0,53.0,478.0669329764785,3,1.0,1.0,29.0,1.0,1.0,23.0,23.0,23.0,29.0,29.0,29.0,2275
